学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,81.0,32.3,27.400000000000006,16.2,23.299999999999997,64.8,81,81,83.0,82.4,0.8078787878787879,0.8303030303030304,0.8518828451882845,0.8099999999999999
20210102,李四,80.0,33.5,27.8,19.0,22.5,76.0,80,95,83.80000000000001,86.41,0.8318181818181819,0.8424242424242424,0.8577405857740587,0.95
20210103,王五,87.0,34.1,27.200000000000003,16.0,20.4,64.0,87,80,81.7,81.54,0.8551515151515152,0.8242424242424243,0.7648535564853557,0.8
20210104,赵六,75.0,32.5,27.7,16.6,21.0,66.4,75,83,81.2,81.34,0.8030303030303031,0.8393939393939394,0.788702928870293,0.8300000000000001
20210105,陈七,93.0,33.5,28.200000000000003,16.6,24.1,66.4,93,83,85.8,85.46,0.8515151515151516,0.8545454545454546,0.879497907949791,0.8300000000000001
20210201,刘八,91.0,34.699999999999996,27.6,17.2,22.700000000000003,68.8,91,86,85.0,85.55,0.873939393939394,0.8363636363636364,0.8447698744769876,0.86
20210202,周九,88.0,32.6,28.400000000000002,18.0,21.200000000000003,72.0,88,90,82.2,84.44,0.8248484848484849,0.8606060606060607,0.8092050209205023,0.9
20210203,吴十,75.0,33.400000000000006,25.1,17.8,21.4,71.2,75,89,79.9,81.93,0.8221212121212124,0.7606060606060606,0.8129707112970712,0.89
20210204,郑十一,89.0,31.499999999999996,26.0,17.2,21.2,68.8,89,86,78.69999999999999,81.03999999999999,0.803030303030303,0.7878787878787878,0.800836820083682,0.86
20210205,孙十二,89.0,33.4,27.199999999999996,18.400000000000002,22.1,73.60000000000001,89,92,82.7,85.34,0.8433333333333334,0.8242424242424241,0.8397489539748956,0.9200000000000002
