学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,79.0,32.50000000000001,28.799999999999997,17.400000000000002,20.8,69.60000000000001,79,87,82.10000000000001,83.17,0.8090909090909093,0.8727272727272727,0.7912133891213391,0.8700000000000001
20210102,李四,87.0,33.5,27.9,16.0,19.0,64.0,87,80,80.4,80.63,0.8424242424242425,0.8454545454545455,0.7238493723849373,0.8
20210103,王五,90.0,32.0,26.2,18.0,20.9,72.0,90,90,79.10000000000001,82.37,0.8151515151515152,0.793939393939394,0.800418410041841,0.9
20210104,赵六,90.0,32.00000000000001,28.0,18.400000000000002,20.4,73.60000000000001,90,92,80.4,83.78,0.8151515151515153,0.8484848484848485,0.789958158995816,0.9200000000000002
20210105,陈七,94.0,32.6,27.599999999999998,16.0,22.200000000000003,64.0,94,80,82.40000000000002,82.38000000000002,0.8339393939393941,0.8363636363636363,0.8175732217573223,0.8
20210201,刘八,87.0,33.4,27.200000000000003,16.8,22.7,67.2,87,84,83.3,83.66,0.8403030303030303,0.8242424242424243,0.8405857740585775,0.8400000000000001
20210202,周九,95.0,33.699999999999996,27.0,17.8,23.1,71.2,95,89,83.79999999999998,85.66,0.8587878787878788,0.8181818181818182,0.8627615062761508,0.89
20210203,吴十,94.0,32.2,26.700000000000003,18.400000000000002,23.200000000000003,73.60000000000001,94,92,82.10000000000001,85.17,0.8254545454545456,0.8090909090909092,0.871966527196653,0.9200000000000002
20210204,郑十一,79.0,32.800000000000004,24.6,18.6,21.9,74.4,79,93,79.30000000000001,82.71,0.8154545454545455,0.7454545454545455,0.8359832635983264,0.93
20210205,孙十二,92.0,32.0,25.9,16.8,21.5,67.2,92,84,79.4,81.18,0.8181818181818182,0.7848484848484848,0.8054393305439331,0.8400000000000001
