学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,80.0,32.8,26.4,17.400000000000002,24.3,69.60000000000001,80,87,83.49999999999999,84.2,0.8169696969696969,0.7999999999999999,0.8937238493723851,0.8700000000000001
20210102,李四,94.0,31.899999999999995,28.099999999999998,16.400000000000002,22.8,65.60000000000001,94,82,82.8,83.16,0.819090909090909,0.8515151515151514,0.8393305439330545,0.8200000000000001
20210103,王五,91.0,32.5,27.3,18.400000000000002,22.3,73.60000000000001,91,92,82.10000000000001,85.02,0.8272727272727274,0.8272727272727273,0.8456066945606696,0.9200000000000002
20210104,赵六,78.0,32.9,25.799999999999997,18.6,20.8,74.4,78,93,79.49999999999999,82.8,0.816060606060606,0.7818181818181817,0.8037656903765692,0.93
20210105,陈七,79.0,32.900000000000006,27.0,17.8,21.8,71.2,79,89,81.7,83.39,0.8175757575757577,0.8181818181818182,0.8246861924686194,0.89
20210201,刘八,91.0,32.400000000000006,27.8,17.8,22.6,71.2,91,89,82.80000000000001,84.76,0.8251515151515154,0.8424242424242424,0.8481171548117157,0.89
20210202,周九,92.0,32.6,27.3,17.6,22.200000000000003,70.4,92,88,82.1,84.07,0.830909090909091,0.8272727272727273,0.8343096234309625,0.8800000000000001
20210203,吴十,87.0,32.8,26.9,18.0,22.0,72.0,87,90,81.69999999999999,84.04,0.8275757575757575,0.8151515151515151,0.8326359832635983,0.9
20210204,郑十一,92.0,32.800000000000004,26.2,19.0,22.6,76.0,92,95,81.60000000000001,85.47,0.8351515151515152,0.793939393939394,0.8606694560669458,0.95
20210205,孙十二,86.0,33.9,26.9,18.8,20.9,75.2,86,94,81.7,84.99,0.8493939393939394,0.8151515151515151,0.8087866108786611,0.9400000000000001
