学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,77.0,32.5,26.9,18.2,23.299999999999997,72.8,77,91,82.7,84.49,0.8060606060606061,0.8151515151515151,0.8728033472803347,0.9099999999999999
20210102,李四,84.0,33.0,27.4,18.400000000000002,19.9,73.60000000000001,84,92,80.3,83.41,0.8272727272727272,0.8303030303030302,0.7753138075313808,0.9200000000000002
20210103,王五,95.0,30.700000000000003,27.8,17.2,21.6,68.8,95,86,80.10000000000001,82.32,0.7951515151515152,0.8424242424242424,0.8125523012552303,0.86
20210104,赵六,92.0,31.700000000000006,28.099999999999998,18.2,20.5,72.8,92,91,80.30000000000001,83.56,0.811818181818182,0.8515151515151514,0.790794979079498,0.9099999999999999
20210105,陈七,82.0,32.800000000000004,26.099999999999998,16.2,23.4,64.8,82,81,82.3,81.96,0.8200000000000001,0.7909090909090909,0.8548117154811715,0.8099999999999999
20210201,刘八,94.0,34.800000000000004,26.6,16.6,22.799999999999997,66.4,94,83,84.2,84.39,0.8806060606060607,0.8060606060606061,0.8414225941422595,0.8300000000000001
20210202,周九,93.0,34.5,28.800000000000004,17.6,24.0,70.4,93,88,87.3,87.76,0.8727272727272728,0.8727272727272729,0.887029288702929,0.8800000000000001
20210203,吴十,82.0,33.6,27.2,16.8,20.4,67.2,82,84,81.2,81.94,0.836969696969697,0.8242424242424242,0.7732217573221758,0.8400000000000001
20210204,郑十一,84.0,33.400000000000006,26.9,18.6,20.6,74.4,84,93,80.9,84.08,0.8357575757575759,0.8151515151515151,0.7979079497907952,0.93
20210205,孙十二,82.0,33.300000000000004,27.000000000000004,18.6,21.799999999999997,74.4,82,93,82.1,84.82,0.8306060606060608,0.8181818181818183,0.8330543933054394,0.93
