学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,83.0,33.199999999999996,26.3,18.2,23.8,72.8,83,91,83.3,85.21,0.8299999999999998,0.796969696969697,0.88744769874477,0.9099999999999999
20210102,李四,93.0,33.00000000000001,25.6,16.0,24.0,64.0,93,80,82.60000000000001,82.47,0.840909090909091,0.7757575757575758,0.8702928870292888,0.8
20210103,王五,89.0,33.300000000000004,26.599999999999998,17.8,22.3,71.2,89,89,82.2,84.24,0.8412121212121214,0.806060606060606,0.8393305439330545,0.89
20210104,赵六,83.0,31.4,28.4,18.8,22.6,75.2,83,94,82.39999999999999,85.33,0.7918181818181818,0.8606060606060606,0.8585774058577408,0.9400000000000001
20210105,陈七,78.0,34.3,26.1,19.0,25.1,76.0,78,95,85.49999999999999,87.5,0.8457575757575757,0.790909090909091,0.9338912133891215,0.95
20210201,刘八,85.0,32.099999999999994,26.9,18.2,24.1,72.8,85,91,83.1,85.17,0.8096969696969696,0.8151515151515151,0.8962343096234311,0.9099999999999999
20210202,周九,91.0,34.800000000000004,28.1,16.8,22.9,67.2,91,84,85.80000000000001,85.61,0.8760606060606062,0.8515151515151516,0.8464435146443515,0.8400000000000001
20210203,吴十,81.0,33.3,25.8,16.2,24.8,64.8,81,81,83.89999999999999,83.03,0.8290909090909091,0.7818181818181819,0.89581589958159,0.8099999999999999
20210204,郑十一,88.0,32.6,27.599999999999998,16.6,20.5,66.4,88,83,80.7,81.64,0.8248484848484849,0.8363636363636363,0.7740585774058579,0.8300000000000001
20210205,孙十二,80.0,33.2,26.799999999999997,16.400000000000002,22.200000000000003,65.60000000000001,80,82,82.20000000000002,82.04,0.8254545454545456,0.812121212121212,0.8217573221757324,0.8200000000000001
