学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,83.0,33.9,24.9,17.2,23.0,68.8,83,86,81.80000000000001,82.91,0.8448484848484847,0.7545454545454545,0.8535564853556488,0.86
20210102,李四,94.0,33.1,27.6,18.2,22.7,72.8,94,91,83.4,85.83,0.8445454545454546,0.8363636363636364,0.8552301255230126,0.9099999999999999
20210103,王五,92.0,32.2,26.599999999999998,18.8,21.7,75.2,92,94,80.5,84.45,0.8224242424242425,0.806060606060606,0.8322175732217574,0.9400000000000001
20210104,赵六,85.0,32.199999999999996,26.400000000000002,16.6,23.4,66.4,85,83,81.99999999999999,82.4,0.8118181818181818,0.8,0.8589958158995816,0.8300000000000001
20210105,陈七,87.0,32.7,29.400000000000006,17.0,20.6,68.0,87,85,82.7,83.49,0.8254545454545456,0.8909090909090911,0.781171548117155,0.85
20210201,刘八,76.0,34.0,25.6,17.6,23.299999999999997,70.4,76,88,82.9,83.83,0.8363636363636363,0.7757575757575758,0.8665271966527197,0.8800000000000001
20210202,周九,88.0,32.8,26.6,18.0,21.4,72.0,88,90,80.80000000000001,83.46,0.829090909090909,0.8060606060606061,0.8150627615062762,0.9
20210203,吴十,91.0,33.3,27.9,18.2,25.0,72.8,91,91,86.19999999999999,87.64,0.8442424242424242,0.8454545454545455,0.9225941422594143,0.9099999999999999
20210204,郑十一,94.0,33.6,27.799999999999997,17.2,24.2,68.8,94,86,85.60000000000001,86.12,0.8551515151515152,0.8424242424242423,0.888702928870293,0.86
20210205,孙十二,93.0,32.900000000000006,26.299999999999997,17.8,20.5,71.2,93,89,79.70000000000002,82.69,0.8387878787878789,0.7969696969696969,0.786610878661088,0.89
