学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,92.0,33.5,28.099999999999998,17.2,20.4,68.8,92,86,82.0,83.5,0.8500000000000001,0.8515151515151514,0.7774058577405858,0.86
20210102,李四,76.0,32.50000000000001,29.1,18.2,23.6,72.8,76,91,85.2,86.19,0.8045454545454547,0.8818181818181818,0.8815899581589959,0.9099999999999999
20210103,王五,79.0,33.10000000000001,25.3,18.400000000000002,23.0,73.60000000000001,79,92,81.4,83.93,0.8218181818181821,0.7666666666666667,0.8661087866108789,0.9200000000000002
20210104,赵六,80.0,32.6,27.2,16.8,21.3,67.2,80,84,81.10000000000001,81.77000000000001,0.8127272727272729,0.8242424242424242,0.7995815899581591,0.8400000000000001
20210105,陈七,78.0,32.4,27.6,17.2,22.3,68.8,78,86,82.3,83.01,0.8054545454545454,0.8363636363636364,0.8330543933054395,0.86
20210201,刘八,90.0,31.39999999999999,27.2,18.2,25.4,72.8,90,91,84.0,86.05,0.8024242424242423,0.8242424242424242,0.9343096234309624,0.9099999999999999
20210202,周九,84.0,33.0,28.6,19.0,22.799999999999997,76.0,84,95,84.39999999999999,87.03,0.8272727272727272,0.8666666666666667,0.8665271966527197,0.95
20210203,吴十,88.0,33.7,26.5,18.6,22.6,74.4,88,93,82.8,85.61,0.8481818181818181,0.803030303030303,0.8564853556485358,0.93
20210204,郑十一,86.0,32.300000000000004,27.9,17.8,22.9,71.2,86,89,83.10000000000001,84.72,0.8154545454545457,0.8454545454545455,0.8569037656903766,0.89
20210205,孙十二,76.0,34.300000000000004,28.0,18.6,21.2,74.4,76,93,83.50000000000001,85.5,0.8427272727272729,0.8484848484848485,0.8154811715481172,0.93
