班级,学号,姓名,1.1（2.0分）,1.2（2.0分）,1.3（2.0分）,1.4（2.0分）,1.5（2.0分）,2.1（2.0分）,2.2（2.0分）,2.3（2.0分）,2.4（2.0分）,2.5（2.0分）,2.6（2.0分）,2.7（2.0分）,2.8（2.0分）,2.9（2.0分）,2.10（2.0分）,3.1（5.0分）,3.2（5.0分）,3.3（5.0分）,4.1（7.0分）,4.2（7.0分）,4.3（7.0分）,4.4（7.0分）,5.1（15.0分）,5.2（12.0分）
计算机2021-1班,20210101,张三,1.8,1.8,1.8,1.7,1.5,1.5,1.8,1.9,1.7,1.6,1.6,1.8,1.5,1.5,1.9,4.6,4.6,4,5.4,5.6,5.5,6,12.9,11.2
计算机2021-1班,20210102,李四,1.7,1.8,1.5,1.5,1.8,1.5,1.6,1.6,1.5,1.8,1.7,1.6,1.5,1.7,1.5,3.6,3.7,4.3,6,5,6.1,5,12.3,10.7
计算机2021-1班,20210103,王五,1.6,1.6,1.8,1.5,1.8,1.8,1.7,1.5,1.6,1.8,1.7,1.9,1.8,1.9,1.7,3.6,4.6,4.3,5.7,6.1,6.5,5,13,9.2
计算机2021-1班,20210104,赵六,1.9,1.5,1.7,1.4,1.8,1.7,1.9,1.8,1.8,1.6,1.6,1.4,1.9,1.5,1.6,4.1,3.6,4.1,6.3,5.4,6.6,5.6,10.8,10.2
计算机2021-1班,20210105,陈七,1.7,1.4,1.4,1.4,1.7,1.7,1.7,1.5,1.5,1.8,1.8,1.8,1.7,1.5,1.5,3.7,3.7,4,6.6,6.3,5.9,5.9,11.8,9.6
计算机2021-2班,20210201,刘八,1.7,1.8,1.5,1.4,1.6,1.5,1.7,1.9,1.7,1.5,1.4,1.6,1.7,1.8,1.8,4.1,3.6,3.8,6,5.2,5.1,6.4,13.4,10.1
计算机2021-2班,20210202,周九,1.7,1.8,1.5,1.6,1.7,1.6,1.6,1.7,1.5,1.6,1.5,1.4,1.7,1.5,1.4,4.3,4.1,4.4,6.6,6.3,6.6,6.1,11.7,9.2
计算机2021-2班,20210203,吴十,1.5,1.7,1.7,1.6,1.6,1.8,1.7,1.7,1.7,1.9,1.5,1.7,1.7,1.7,1.4,4.1,4.3,3.7,5.1,5.8,5.9,6.6,14.2,11.3
计算机2021-2班,20210204,郑十一,1.6,1.7,1.8,1.5,1.7,1.8,1.7,1.4,1.7,1.8,1.5,1.4,1.5,1.7,1.6,3.6,4.3,3.8,5.5,6,5.9,5.9,11.7,10.5
计算机2021-2班,20210205,孙十二,1.8,1.8,1.7,1.9,1.4,1.8,1.8,1.7,1.7,1.4,1.7,1.7,1.8,1.5,1.8,4.1,4.7,4.1,5.1,6.2,5.9,5.8,12.4,9.7
