学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,87.0,34.6,26.5,17.8,24.1,71.2,87,89,85.2,86.24,0.8657575757575758,0.803030303030303,0.8920502092050211,0.89
20210102,李四,92.0,31.6,26.4,17.2,23.0,68.8,92,86,81.0,82.8,0.8096969696969698,0.7999999999999999,0.8535564853556488,0.86
20210103,王五,92.0,33.9,27.6,16.2,22.2,64.8,92,81,83.7,83.44,0.8584848484848484,0.8363636363636364,0.8196652719665273,0.8099999999999999
20210104,赵六,84.0,32.800000000000004,28.0,16.2,21.0,64.8,84,81,81.80000000000001,81.71000000000001,0.823030303030303,0.8484848484848485,0.7845188284518829,0.8099999999999999
20210105,陈七,90.0,31.5,28.699999999999996,19.0,21.4,76.0,90,95,81.6,85.37,0.8045454545454546,0.8696969696969695,0.8255230125523013,0.95
20210201,刘八,78.0,32.3,26.5,16.6,23.5,66.4,78,83,82.3,82.26,0.8033333333333332,0.803030303030303,0.8619246861924688,0.8300000000000001
20210202,周九,87.0,32.199999999999996,30.0,18.400000000000002,20.9,73.60000000000001,87,92,83.1,85.52,0.8148484848484848,0.9090909090909091,0.8046025104602511,0.9200000000000002
20210203,吴十,92.0,33.29999999999999,27.1,16.400000000000002,25.5,65.60000000000001,92,82,85.89999999999999,85.23,0.8457575757575756,0.8212121212121213,0.9184100418410043,0.8200000000000001
20210204,郑十一,90.0,32.3,27.1,18.400000000000002,22.2,73.60000000000001,90,92,81.6,84.62,0.8215151515151514,0.8212121212121213,0.8426778242677826,0.9200000000000002
20210205,孙十二,80.0,34.300000000000004,27.099999999999998,17.0,22.1,68.0,80,85,83.50000000000001,83.7,0.848787878787879,0.8212121212121212,0.8251046025104604,0.85
